Date,Symbol,Order,Shares
2010-02-01,IBM,BUY,100
2010-02-16,IBM,SELL,100
2010-02-25,IBM,SELL,100
2010-03-01,IBM,SELL,100
2010-03-02,IBM,SELL,100
2010-04-16,IBM,SELL,100
2010-04-21,IBM,BUY,100
2010-05-07,IBM,BUY,100
2010-05-10,IBM,BUY,100
2010-05-12,IBM,SELL,100
2010-05-13,IBM,SELL,100
2010-08-09,IBM,SELL,100
2010-08-10,IBM,SELL,100
2010-08-11,IBM,SELL,100
2010-08-24,IBM,BUY,100
2010-08-25,IBM,BUY,100
2010-09-03,IBM,SELL,100
2010-09-07,IBM,SELL,100
2010-09-16,IBM,SELL,100
2010-09-20,IBM,SELL,100
2010-09-21,IBM,SELL,100
2010-09-22,IBM,SELL,100
2010-09-23,IBM,SELL,100
2010-09-24,IBM,SELL,100
2010-09-27,IBM,SELL,100
2010-09-28,IBM,SELL,100
2010-09-29,IBM,SELL,100
2010-09-30,IBM,SELL,100
2010-10-01,IBM,SELL,100
2010-10-04,IBM,SELL,100
2010-10-05,IBM,SELL,100
2010-10-06,IBM,SELL,100
2010-10-07,IBM,SELL,100
2010-10-08,IBM,SELL,100
2010-10-11,IBM,SELL,100
2010-10-12,IBM,SELL,100
2010-10-13,IBM,SELL,100
2010-10-14,IBM,SELL,100
2010-10-15,IBM,SELL,100
2010-10-18,IBM,SELL,100
2010-10-19,IBM,SELL,100
2010-11-08,IBM,SELL,100
2010-11-16,IBM,BUY,100
2010-12-30,IBM,SELL,100
2011-02-22,IBM,BUY,100
2011-03-01,IBM,BUY,100
2011-03-04,IBM,SELL,100
2011-03-18,IBM,BUY,100
2011-03-24,IBM,SELL,100
2011-04-05,IBM,SELL,100
2011-04-06,IBM,SELL,100
2011-04-07,IBM,SELL,100
2011-04-08,IBM,SELL,100
2011-04-11,IBM,SELL,100
2011-04-12,IBM,SELL,100
2011-04-13,IBM,SELL,100
2011-04-15,IBM,SELL,100
2011-04-18,IBM,SELL,100
2011-04-19,IBM,SELL,100
2011-04-21,IBM,SELL,100
2011-04-25,IBM,SELL,100
2011-05-23,IBM,BUY,100
2011-05-24,IBM,SELL,100
2011-06-02,IBM,BUY,100
2011-06-06,IBM,BUY,100
2011-06-21,IBM,SELL,100
2011-06-22,IBM,SELL,100
2011-06-30,IBM,SELL,100
2011-07-01,IBM,SELL,100
2011-07-05,IBM,SELL,100
2011-07-06,IBM,SELL,100
2011-07-07,IBM,SELL,100
2011-08-02,IBM,BUY,100
2011-08-04,IBM,SELL,100
2011-08-08,IBM,BUY,100
2011-08-09,IBM,BUY,100
2011-08-26,IBM,SELL,100
2011-08-30,IBM,SELL,100
2011-09-29,IBM,SELL,100
2011-09-30,IBM,SELL,100
2011-10-11,IBM,SELL,100
2011-10-18,IBM,BUY,100
2011-11-28,IBM,BUY,100
2011-11-30,IBM,SELL,100
